Drug ID,Name,Slug,Url,Provider ID
215,,spirulina,https://domayurveda.ru/magazin/product/spirulina,3
216,,shatavari-shri-ganga,https://domayurveda.ru/magazin/product/shatavari-shri-ganga,3
217,,kapikachhu,https://domayurveda.ru/magazin/product/kapikachhu,3
218,,trifala200-shri-ganga,https://domayurveda.ru/magazin/product/trifala200-shri-ganga,3
219,,goto-kula,https://domayurveda.ru/magazin/product/goto-kula,3
220,,neem-shri-ganga,https://domayurveda.ru/magazin/product/neem-shri-ganga,3
221,,drishti-drishti-lechenie-glaznyh-zabolevanij-shri-ganga-shri-ganga-120-tab,https://domayurveda.ru/magazin/product/drishti-drishti-lechenie-glaznyh-zabolevanij-shri-ganga-shri-ganga-120-tab,3
222,,amalaka-amalaki-dlya-podderzhaniya-immuniteta-ayur-plyus-ayur-plus-60-tab,https://domayurveda.ru/magazin/product/amalaka-amalaki-dlya-podderzhaniya-immuniteta-ayur-plyus-ayur-plus-60-tab,3
223,,ardzhuna-ajuna-dlya-podderzhaniya-raboty-serdechnoj-myshcy-ayur-plyus-ayur-plus-60-tab,https://domayurveda.ru/magazin/product/ardzhuna-ajuna-dlya-podderzhaniya-raboty-serdechnoj-myshcy-ayur-plyus-ayur-plus-60-tab,3
224,,punarnava-punarnava-mochepolovaya-sistema-ayur-plyus-ayur-plus-60-tab,https://domayurveda.ru/magazin/product/punarnava-punarnava-mochepolovaya-sistema-ayur-plyus-ayur-plus-60-tab,3
225,,shatavari-shatavari-dlya-zhenskogo-zdorovya-ayur-plyus-ayur-plus-60-tab,https://domayurveda.ru/magazin/product/shatavari-shatavari-dlya-zhenskogo-zdorovya-ayur-plyus-ayur-plus-60-tab,3
226,,bosveliya-serrata-boswellia-serrata-dlya-ukrepleniya-kostnoj-tkani-sanavi-sanavi-60-tab,https://domayurveda.ru/magazin/product/bosveliya-serrata-boswellia-serrata-dlya-ukrepleniya-kostnoj-tkani-sanavi-sanavi-60-tab,3
227,,pomegranat-pomegranate-ukreplenie-sosudov-sanavi-sanavi-60-tab,https://domayurveda.ru/magazin/product/pomegranat-pomegranate-ukreplenie-sosudov-sanavi-sanavi-60-tab,3
228,,gotu-kola-gotu-kola-ukreplenie-nervnoj-sistemy-sanavi-sanavi-60-tab,https://domayurveda.ru/magazin/product/gotu-kola-gotu-kola-ukreplenie-nervnoj-sistemy-sanavi-sanavi-60-tab,3
229,,amlant-amlant-lechenie-problem-zhkt-maharishi-maharishi-60-tab,https://domayurveda.ru/magazin/product/amlant-amlant-lechenie-problem-zhkt-maharishi-maharishi-60-tab,3
230,,kardimap-cardimap-dlya-serdc-maharishi-maharishi-100-tab,https://domayurveda.ru/magazin/product/kardimap-cardimap-dlya-serdc-maharishi-maharishi-100-tab,3
231,,trifala-triphala-ochishchenie-organizma-maharishi-maharishi-60-tab,https://domayurveda.ru/magazin/product/trifala-triphala-ochishchenie-organizma-maharishi-maharishi-60-tab,3
232,,kraska-sanavi-dlya-volos-bez-ammiaka-ton-svetlo-korichnevyj-75-g,https://domayurveda.ru/magazin/product/kraska-sanavi-dlya-volos-bez-ammiaka-ton-svetlo-korichnevyj-75-g,3
233,,kraska-dlya-volos-bez-ammiaka-ton-naturalnyj-chernyj-sanavi-sanavi-75-g,https://domayurveda.ru/magazin/product/kraska-dlya-volos-bez-ammiaka-ton-naturalnyj-chernyj-sanavi-sanavi-75-g,3
